date,new_deaths,new_cases,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated
2/29/2020,1,34,0.0,0,0,0,0.0,0,0
3/7/2020,15,265,10.7,0,0,6867,0.107,0,0
3/14/2020,42,2627,23.81,0,0,46013,0.745,0,0
3/21/2020,224,20895,24.54,0,0,344810,0.772,0,0
3/28/2020,1337,82109,18.45,0,0,760008,1.119,0,0
4/4/2020,5753,164438,12.85,0,0,1008036,1.384,0,0
4/11/2020,13024,218050,8.99,0,0,1186777,1.445,0,0
4/18/2020,15803,199013,7.3,0,0,1111062,1.364,0,0
4/25/2020,15132,200703,7.08,0,0,1464945,1.175,0,0
5/2/2020,13785,200132,6.8,0,0,1890326,1.001,0,0
5/9/2020,13053,186495,6.48,0,0,2239981,0.81,0,0
5/16/2020,10239,171237,6.45,0,0,2703744,0.627,0,0
5/23/2020,8297,166990,6.63,0,0,2897522,0.549,0,0
5/30/2020,7569,148658,6.67,0,0,3229596,0.482,0,0
6/6/2020,6162,149030,7.01,0,0,3574758,0.434,0,0
6/13/2020,5511,148034,7.21,0,0,3808428,0.406,0,0
6/20/2020,4435,175249,8.09,0,0,4290259,0.464,0,0
6/27/2020,6130,244843,8.96,0,0,4713566,0.557,0,0
7/4/2020,4347,328340,8.79,0,0,5254262,0.654,0,0
7/11/2020,5375,383992,8.39,0,0,6007438,0.731,0,0
7/18/2020,6549,457894,7.92,40705,152737,6596245,0.718,0,0
7/25/2020,7523,471701,7.35,87448,313752,6815014,0.67,0,0
8/1/2020,8061,436218,6.83,98888,327394,6308248,0.62,0,0
8/8/2020,7851,381587,6.62,97485,314020,6075323,0.549,0,0
8/15/2020,7674,368907,6.56,89705,286937,6061026,0.478,0,0
8/22/2020,6717,324868,6.09,80552,262962,5908890,0.421,0,0
8/29/2020,6315,295581,6.4,71900,233864,5961302,0.392,0,0
9/5/2020,5836,290882,6.54,65443,213435,6063336,0.378,0,0
9/12/2020,5018,252456,6.63,61170,196629,5661575,0.348,0,0
9/19/2020,5236,276932,7.27,56585,183823,6774035,0.322,0,0
9/26/2020,4801,303286,7.19,54858,183432,6885584,0.322,0,0
10/3/2020,4558,297028,7.26,56021,190321,6847985,0.336,0,0
10/10/2020,4730,326390,7.66,59736,210572,8036308,0.338,0,0
10/17/2020,4713,377349,7.96,65123,235010,7617740,0.383,0,0
10/24/2020,5684,436177,8.24,72525,264237,8587663,0.426,0,0
10/31/2020,6107,544216,8.43,80626,301371,8805496,0.488,0,0
11/7/2020,6852,754275,8.85,90700,351943,9747572,0.581,0,0
11/14/2020,8706,961193,8.82,106066,437507,10926635,0.718,0,0
11/21/2020,10132,1159103,8.25,127514,533384,12783138,0.738,0,0
11/28/2020,12251,1191736,7.5,145072,603412,11664329,0.703,0,0
12/5/2020,13866,1221160,7.78,159587,675308,12521963,0.808,0,0
12/12/2020,17119,1446449,7.69,170153,722416,12839573,0.828,0,0
12/19/2020,19105,1527892,7.27,180063,775680,12558263,0.838,2947449,78668
12/26/2020,19045,1434655,6.69,186153,807975,11042299,0.831,15950067,146969
1/2/2021,18838,1313791,7.31,192894,854068,10642038,0.972,33351492,299839
1/9/2021,20835,1603592,7.59,198451,894803,12913804,1.017,57970908,3571228
1/16/2021,23639,1644742,6.73,199796,886002,12602016,0.874,93185246,13939702
1/23/2021,22200,1313760,6.02,188191,811801,11902464,0.748,135266771,23917818
1/30/2021,22662,1093806,5.91,168989,709240,11353415,0.649,183436179,41314739
2/6/2021,19967,896661,5.64,148992,604151,10632854,0.557,231672584,67612313
2/13/2021,18176,697968,5.41,127860,505607,9186638,0.475,280191525,103487162
2/20/2021,17171,497340,5.35,107702,418707,8050973,0.406,322660739,141495098
2/27/2021,13716,466053,6.07,89985,351186,9265517,0.353,362550406,185119783
3/6/2021,10488,429919,6.18,75606,291358,9075141,0.309,426504616,232701000
3/13/2021,8992,383872,6.34,65974,255701,8708991,0.291,505370862,282347728
3/20/2021,6677,381751,6.81,60164,239638,8485327,0.302,589279709,334007166
3/27/2021,6147,405006,7.44,58209,238330,8627033,0.323,675140124,385568059
4/3/2021,5552,454348,7.39,59349,246849,8527156,0.366,762010095,455122705
4/10/2021,4881,449981,7.35,62960,260953,8729060,0.382,852537946,536990019
4/17/2021,4932,472558,7.01,66371,273292,8946936,0.38,940387116,625400678
4/24/2021,4693,414750,6.38,68413,275044,8767932,0.349,1003730973,702444033
5/1/2021,4522,345515,6.1,66223,254119,8391325,0.31,1055842212,778544622
5/8/2021,4451,302994,5.86,62362,229794,7721152,0.279,1094865542,852542228
5/15/2021,4078,242875,5.68,56066,200516,7101350,0.236,1125902598,917160425
5/22/2021,3676,188859,5.46,48765,171151,6356530,0.204,1167336808,971377218
5/29/2021,3480,150897,5.27,42664,149489,5596928,0.178,1201626585,1012796319
6/5/2021,2792,105300,5.3,36816,125382,4973872,0.152,1222785556,1041668209
6/12/2021,2807,104186,5.92,31317,105820,4874985,0.128,1241334244,1077585433
6/19/2021,1893,82637,6.04,27153,93533,4485483,0.122,1257206603,1109047413
6/26/2021,1961,84627,6.89,25630,87282,4313033,0.133,1271402600,1130187659
7/3/2021,1825,95118,7.62,25885,89295,3957492,0.166,1284676919,1146548388
7/10/2021,1497,275821,9.36,28880,101385,3817151,0.232,1295913617,1159143089
7/17/2021,1877,207900,10.42,37100,133399,4450515,0.338,1308383366,1171722268
7/24/2021,2040,331646,10.63,51715,189949,5338890,0.473,1323261602,1183291490
7/31/2021,2816,512206,10.38,73176,281092,6346958,0.625,1342891783,1194048637
8/7/2021,4140,713653,9.76,101952,396986,7851722,0.715,1365683550,1205234507
8/14/2021,5279,874081,8.82,131782,518721,9016756,0.733,1389242571,1217768462
8/21/2021,7695,998812,8.17,157832,611343,9769651,0.728,1411090549,1233284872
8/28/2021,9902,1080178,7.71,174805,666522,11231677,0.716,1431543098,1251515024
9/4/2021,11573,1144310,7.32,181182,678866,11666713,0.669,1450860549,1270937233
9/11/2021,11766,1032591,6.98,180526,666707,10952282,0.645,1465947478,1287544890
9/18/2021,13543,1051053,6.77,174048,623375,11845991,0.582,1480989791,1305249834
9/25/2021,13258,878055,6.26,160625,561806,11637412,0.513,1493579583,1321737298
10/2/2021,13246,767745,6.23,142097,492152,11114292,0.461,1505830433,1335713382
10/9/2021,11642,694157,6.18,125482,433248,10866076,0.422,1517190934,1348407732
10/16/2021,10677,598321,6.19,121073,387743,10232083,0.396,1527305649,1359247691
10/23/2021,11168,520086,6.25,108980,345390,10134391,0.356,1536759375,1368753129
10/30/2021,9086,518612,6.71,96705,313792,9617934,0.35,1548100221,1377677275
11/6/2021,7583,508801,7.05,82040,291887,9716739,0.359,1560914294,1386263434
11/13/2021,7409,524039,7.52,79034,290081,10154160,0.385,1581414938,1394138592
11/20/2021,10348,686053,7.73,81462,308611,10585264,0.42,1605198880,1401387172
11/27/2021,6789,624469,7.03,87020,332366,7631751,0.47,1624987668,1408200892
12/4/2021,7226,681197,8.53,95302,370484,11407651,0.529,1639922808,1420916782
12/11/2021,8256,850963,7.92,103830,414230,11188864,0.502,1657644366,1438914874
12/18/2021,9002,877919,8.19,111154,439475,11840903,0.545,1673912697,1452811789
12/25/2021,11667,1332732,9.83,113375,453366,12399341,0.861,1690550767,1462240769
1/1/2022,9170,2481523,11.48,124172,589877,12986666,1.543,1703836872,1469746592
1/8/2022,10594,4301911,10.78,150651,840133,18054466,2.004,1717411533,1477769308
1/15/2022,13844,5605477,8.57,175779,1027520,17335254,1.979,1732567948,1486787572
1/22/2022,15510,5164815,7.01,182759,1057383,15687763,1.855,1744775431,1494114782
1/29/2022,18599,4042416,5.62,173397,972350,11901435,1.621,1754363683,1501377454
2/5/2022,18833,2430146,4.44,152236,809553,9877998,1.21,1761759275,1508723175
2/12/2022,18082,1348693,3.94,122928,624401,8857494,0.807,1767673329,1515445735
2/19/2022,15956,759663,3.72,91945,455725,8491959,0.513,1772614523,1521082632
2/26/2022,13064,487932,3.99,66742,326453,6849884,0.357,1776755554,1525668959
3/5/2022,10400,362435,4.25,47106,233724,6789352,0.251,1780181668,1529335211
3/12/2022,8738,241606,4.71,33064,167349,6146471,0.181,1782901711,1532242901
3/19/2022,6147,214678,5.62,23880,124623,6302642,0.15,1785273311,1534709728
3/26/2022,5187,195759,6.3,18164,98432,5977630,0.156,1787587123,1536843927
4/2/2022,4346,195785,6.68,14034,80372,5621348,0.176,1789951723,1538938131
4/9/2022,3180,185984,7.78,11971,72287,5536369,0.218,1792808438,1541677717
4/16/2022,3468,246185,7.71,10685,70686,4870841,0.3,1795598026,1544407873
4/23/2022,2645,276277,8.71,10240,75702,4508344,0.375,1798116976,1546793248
4/30/2022,2093,366692,8.52,10914,87274,5865131,0.436,1800451766,1549033166
5/7/2022,2646,450582,8.91,11888,100602,5579522,0.536,1802647624,1551131477
5/14/2022,2020,582734,8.72,12989,117080,5969381,0.645,1804739229,1553087935
5/21/2022,2034,702438,8.65,15565,140460,6304684,0.741,1806949125,1555078784
5/28/2022,2528,742600,7.49,17002,154110,5895026,0.781,1809204043,1557081792
6/4/2022,2098,683663,7.66,18200,167565,5129209,0.822,1811029095,1558667575
6/11/2022,2354,733375,7.18,19493,175371,4264194,0.834,1812931102,1560266904
6/18/2022,2201,694308,7.05,20702,181316,3333509,0.916,1814720154,1561744843
6/25/2022,2373,671884,7.2,21589,189362,0,0.0,1816731858,1563072202
7/2/2022,2615,764792,7.49,23303,206653,0,0.0,1819753783,1564354439
7/9/2022,2452,748600,7.45,26386,228052,0,0.0,1822178279,1565440186
7/16/2022,2862,873101,7.83,28846,252643,0,0.0,1824955213,1566773903
7/23/2022,3024,884779,7.29,31025,270102,0,0.0,1827887368,1568403821
7/30/2022,3117,895263,7.27,32756,276642,0,0.0,1830626756,1570215811
8/6/2022,3281,896859,6.71,32413,273696,0,0.0,1833049384,1571803849
8/13/2022,3392,715992,6.78,31607,264108,0,0.0,1835260557,1573282609
8/20/2022,3278,648170,6.29,30641,250059,0,0.0,1837291241,1574642967
8/27/2022,3171,627838,6.75,29207,236147,0,0.0,1839126624,1575887237
9/3/2022,3222,590674,6.39,27362,221895,0,0.0,1840704830,1576985090
9/10/2022,2562,472698,6.48,26183,210211,0,0.0,1842104584,1578049350
9/17/2022,3125,427268,6.17,23899,189512,0,0.0,1844537866,1580064074
9/24/2022,2729,376899,6.48,22303,174507,0,0.0,1847252916,1582318539
10/1/2022,2978,327922,6.24,20478,162170,0,0.0,1850106019,1584681879
10/8/2022,2575,285585,6.3,19408,155167,0,0.0,1852948595,1587017371
10/15/2022,2347,259292,6.37,18500,151095,0,0.0,1855873925,1589385300
10/22/2022,3216,317433,6.85,18859,150570,0,0.0,1858857710,1591730651
10/29/2022,3081,255156,7.16,18550,153066,0,0.0,1861826438,1594039745
11/5/2022,2463,267304,7.48,18258,153509,0,0.0,1864576403,1596137160
11/12/2022,2290,282897,7.33,18664,155686,0,0.0,1867145776,1598032569
11/19/2022,2202,274984,7.73,19471,155650,0,0.0,1869490585,1599752432
11/26/2022,2619,300171,7.42,20603,165374,0,0.0,1871466661,1601178631
12/3/2022,1763,302599,8.84,24000,203776,0,0.0,1872970352,1602292031
12/10/2022,3035,462223,8.45,26116,222554,0,0.0,1874721992,1603597564
12/17/2022,2652,446014,7.93,28557,234981,0,0.0,1876464010,1604839368
12/24/2022,3033,508009,7.21,29751,244344,0,0.0,1878066128,1605945768
12/31/2022,2480,392203,6.52,32286,264751,0,0.0,1879217029,1606692775
1/7/2023,2764,471714,1.78,35819,293489,0,0.0,1880404086,1607472783
1/14/2023,4407,448092,0.0,34178,266794,0,0.0,1881683588,1608346540
1/21/2023,3664,308025,0.0,29913,228161,0,0.0,1882712711,1609034252
1/28/2023,3743,294867,0.0,25770,198126,0,0.0,1883593309,1609600754
2/4/2023,3452,285402,0.0,23046,179011,0,0.0,1884372166,1610110604
2/11/2023,3440,278228,0.0,21198,168377,0,0.0,1885093135,1610586284
2/18/2023,2857,254372,0.0,20893,163850,0,0.0,1885729900,1611008767
2/25/2023,2362,267168,0.0,20092,157092,0,0.0,1886301279,1611381178
3/4/2023,2197,227828,0.0,18624,147065,0,0.0,1886869436,1611754433
3/11/2023,1887,170593,0.0,17247,133677,0,0.0,1887430180,1612120635
3/18/2023,1741,126613,0.0,15592,120000,0,0.0,1887969773,1612457559
3/25/2023,2084,152968,0.0,15009,111294,0,0.0,1888500451,1612778501
4/1/2023,1746,176358,0.0,13917,103582,0,0.0,1889010838,1613090995
4/8/2023,1737,139915,0.0,12313,93978,0,0.0,1889494262,1613372125
4/15/2023,1729,103472,0.0,11243,85184,0,0.0,1889955183,1613635149
4/22/2023,1290,104057,0.0,10349,78555,0,0.0,1890374222,1613874306
4/29/2023,1198,98467,0.0,8883,69293,0,0.0,1890804987,1614098648
5/6/2023,1046,86484,0.0,8095,63087,0,0.0,1891287873,1614324918
5/13/2023,1146,77165,0.0,7642,58816,0,0.0,810671644,691906884
5/20/2023,1943,93260,0.0,7193,53938,0,0.0,0,0