date,new_deaths,reproduction_rate,icu_patients,hosp_patients
2/29/2020,1,0.0,0,0
3/7/2020,15,10.7,0,0
3/14/2020,42,23.81,0,0
3/21/2020,224,24.54,0,0
3/28/2020,1337,18.45,0,0
4/4/2020,5753,12.85,0,0
4/11/2020,13024,8.99,0,0
4/18/2020,15803,7.3,0,0
4/25/2020,15132,7.08,0,0
5/2/2020,13785,6.8,0,0
5/9/2020,13053,6.48,0,0
5/16/2020,10239,6.45,0,0
5/23/2020,8297,6.63,0,0
5/30/2020,7569,6.67,0,0
6/6/2020,6162,7.01,0,0
6/13/2020,5511,7.21,0,0
6/20/2020,4435,8.09,0,0
6/27/2020,6130,8.96,0,0
7/4/2020,4347,8.79,0,0
7/11/2020,5375,8.39,0,0
7/18/2020,6549,7.92,40705,152737
7/25/2020,7523,7.35,87448,313752
8/1/2020,8061,6.83,98888,327394
8/8/2020,7851,6.62,97485,314020
8/15/2020,7674,6.56,89705,286937
8/22/2020,6717,6.09,80552,262962
8/29/2020,6315,6.4,71900,233864
9/5/2020,5836,6.54,65443,213435
9/12/2020,5018,6.63,61170,196629
9/19/2020,5236,7.27,56585,183823
9/26/2020,4801,7.19,54858,183432
10/3/2020,4558,7.26,56021,190321
10/10/2020,4730,7.66,59736,210572
10/17/2020,4713,7.96,65123,235010
10/24/2020,5684,8.24,72525,264237
10/31/2020,6107,8.43,80626,301371
11/7/2020,6852,8.85,90700,351943
11/14/2020,8706,8.82,106066,437507
11/21/2020,10132,8.25,127514,533384
11/28/2020,12251,7.5,145072,603412
12/5/2020,13866,7.78,159587,675308
12/12/2020,17119,7.69,170153,722416
12/19/2020,19105,7.27,180063,775680
12/26/2020,19045,6.69,186153,807975
1/2/2021,18838,7.31,192894,854068
1/9/2021,20835,7.59,198451,894803
1/16/2021,23639,6.73,199796,886002
1/23/2021,22200,6.02,188191,811801
1/30/2021,22662,5.91,168989,709240
2/6/2021,19967,5.64,148992,604151
2/13/2021,18176,5.41,127860,505607
2/20/2021,17171,5.35,107702,418707
2/27/2021,13716,6.07,89985,351186
3/6/2021,10488,6.18,75606,291358
3/13/2021,8992,6.34,65974,255701
3/20/2021,6677,6.81,60164,239638
3/27/2021,6147,7.44,58209,238330
4/3/2021,5552,7.39,59349,246849
4/10/2021,4881,7.35,62960,260953
4/17/2021,4932,7.01,66371,273292
4/24/2021,4693,6.38,68413,275044
5/1/2021,4522,6.1,66223,254119
5/8/2021,4451,5.86,62362,229794
5/15/2021,4078,5.68,56066,200516
5/22/2021,3676,5.46,48765,171151
5/29/2021,3480,5.27,42664,149489
6/5/2021,2792,5.3,36816,125382
6/12/2021,2807,5.92,31317,105820
6/19/2021,1893,6.04,27153,93533
6/26/2021,1961,6.89,25630,87282
7/3/2021,1825,7.62,25885,89295
7/10/2021,1497,9.36,28880,101385
7/17/2021,1877,10.42,37100,133399
7/24/2021,2040,10.63,51715,189949
7/31/2021,2816,10.38,73176,281092
8/7/2021,4140,9.76,101952,396986
8/14/2021,5279,8.82,131782,518721
8/21/2021,7695,8.17,157832,611343
8/28/2021,9902,7.71,174805,666522
9/4/2021,11573,7.32,181182,678866
9/11/2021,11766,6.98,180526,666707
9/18/2021,13543,6.77,174048,623375
9/25/2021,13258,6.26,160625,561806
10/2/2021,13246,6.23,142097,492152
10/9/2021,11642,6.18,125482,433248
10/16/2021,10677,6.19,121073,387743
10/23/2021,11168,6.25,108980,345390
10/30/2021,9086,6.71,96705,313792
11/6/2021,7583,7.05,82040,291887
11/13/2021,7409,7.52,79034,290081
11/20/2021,10348,7.73,81462,308611
11/27/2021,6789,7.03,87020,332366
12/4/2021,7226,8.53,95302,370484
12/11/2021,8256,7.92,103830,414230
12/18/2021,9002,8.19,111154,439475
12/25/2021,11667,9.83,113375,453366
1/1/2022,9170,11.48,124172,589877
1/8/2022,10594,10.78,150651,840133
1/15/2022,13844,8.57,175779,1027520
1/22/2022,15510,7.01,182759,1057383
1/29/2022,18599,5.62,173397,972350
2/5/2022,18833,4.44,152236,809553
2/12/2022,18082,3.94,122928,624401
2/19/2022,15956,3.72,91945,455725
2/26/2022,13064,3.99,66742,326453
3/5/2022,10400,4.25,47106,233724
3/12/2022,8738,4.71,33064,167349
3/19/2022,6147,5.62,23880,124623
3/26/2022,5187,6.3,18164,98432
4/2/2022,4346,6.68,14034,80372
4/9/2022,3180,7.78,11971,72287
4/16/2022,3468,7.71,10685,70686
4/23/2022,2645,8.71,10240,75702
4/30/2022,2093,8.52,10914,87274
5/7/2022,2646,8.91,11888,100602
5/14/2022,2020,8.72,12989,117080
5/21/2022,2034,8.65,15565,140460
5/28/2022,2528,7.49,17002,154110
6/4/2022,2098,7.66,18200,167565
6/11/2022,2354,7.18,19493,175371
6/18/2022,2201,7.05,20702,181316
6/25/2022,2373,7.2,21589,189362
7/2/2022,2615,7.49,23303,206653
7/9/2022,2452,7.45,26386,228052
7/16/2022,2862,7.83,28846,252643
7/23/2022,3024,7.29,31025,270102
7/30/2022,3117,7.27,32756,276642
8/6/2022,3281,6.71,32413,273696
8/13/2022,3392,6.78,31607,264108
8/20/2022,3278,6.29,30641,250059
8/27/2022,3171,6.75,29207,236147
9/3/2022,3222,6.39,27362,221895
9/10/2022,2562,6.48,26183,210211
9/17/2022,3125,6.17,23899,189512
9/24/2022,2729,6.48,22303,174507
10/1/2022,2978,6.24,20478,162170
10/8/2022,2575,6.3,19408,155167
10/15/2022,2347,6.37,18500,151095
10/22/2022,3216,6.85,18859,150570
10/29/2022,3081,7.16,18550,153066
11/5/2022,2463,7.48,18258,153509
11/12/2022,2290,7.33,18664,155686
11/19/2022,2202,7.73,19471,155650
11/26/2022,2619,7.42,20603,165374
12/3/2022,1763,8.84,24000,203776
12/10/2022,3035,8.45,26116,222554
12/17/2022,2652,7.93,28557,234981
12/24/2022,3033,7.21,29751,244344
12/31/2022,2480,6.52,32286,264751
1/7/2023,2764,1.78,35819,293489
1/14/2023,4407,0.0,34178,266794
1/21/2023,3664,0.0,29913,228161
1/28/2023,3743,0.0,25770,198126
2/4/2023,3452,0.0,23046,179011
2/11/2023,3440,0.0,21198,168377
2/18/2023,2857,0.0,20893,163850
2/25/2023,2362,0.0,20092,157092
3/4/2023,2197,0.0,18624,147065
3/11/2023,1887,0.0,17247,133677
3/18/2023,1741,0.0,15592,120000
3/25/2023,2084,0.0,15009,111294
4/1/2023,1746,0.0,13917,103582
4/8/2023,1737,0.0,12313,93978
4/15/2023,1729,0.0,11243,85184
4/22/2023,1290,0.0,10349,78555
4/29/2023,1198,0.0,8883,69293
5/6/2023,1046,0.0,8095,63087
5/13/2023,1146,0.0,7642,58816
5/20/2023,1943,0.0,7193,53938